cod_reclamo,cod_representante,cod_pedido,cod_seguimiento,cod_tipo_reclamo,cod_nivel_urgencia,cod_estado_reclamo,comentario,fecha_suceso,fecha_reclamo
49,49,49,49,E,M,D,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,2024/03/29,2024/03/16
50,50,50,50,G,M,A,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,2024/03/31,2024/03/14
51,51,51,51,E,M,D,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,2024/03/18,2024/04/06
52,52,52,52,D,M,D,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,2024/03/07,2024/03/25
53,53,53,53,C,A,B,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024/03/10,2024/03/15
54,54,54,54,F,M,A,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,2024/03/23,2024/03/16
55,55,55,55,E,B,A,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024/03/10,2024/03/14
56,56,56,56,D,B,B,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024/03/10,2024/03/26
57,57,57,57,A,A,A,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,2024/04/01,2024/03/28
58,58,58,58,D,B,B,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,2024/03/10,2024/03/15
59,59,59,59,B,A,D,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,2024/03/21,2024/03/12
60,60,60,60,A,B,B,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,2024/03/19,2024/03/27
61,61,61,61,D,B,D,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024/03/11,2024/03/09
62,62,62,62,D,M,A,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,2024/04/02,2024/03/29
63,63,63,63,D,M,A,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,2024/03/30,2024/03/30
64,64,64,64,G,M,C,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,2024/03/10,2024/03/26
65,65,65,65,B,M,D,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,2024/03/17,2024/04/07
66,66,66,66,E,A,A,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,2024/03/17,2024/03/16
67,67,67,67,G,B,A,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,2024/03/21,2024/03/13
68,68,68,68,G,A,A,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,2024/04/03,2024/03/10
69,69,69,69,E,M,A,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,2024/03/22,2024/04/01
70,70,70,70,D,M,B,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,2024/03/07,2024/03/14
71,71,71,71,C,M,B,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,2024/03/22,2024/04/01
72,72,72,72,F,A,A,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,2024/03/08,2024/04/06
73,73,73,73,F,B,B,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,2024/03/10,2024/03/17
74,74,74,74,B,A,C,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,2024/04/02,2024/04/01
75,75,75,75,B,A,B,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024/03/22,2024/03/26
76,76,76,76,E,A,C,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024/03/21,2024/04/03
77,77,77,77,F,B,A,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,2024/03/23,2024/03/24
78,78,78,78,E,M,A,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,2024/03/30,2024/03/22
79,79,79,79,B,A,A,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024/03/17,2024/03/13
80,80,80,80,E,A,B,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,2024/03/06,2024/04/04
81,81,81,81,C,B,C,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,2024/03/22,2024/04/04
82,82,82,82,A,B,A,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,2024/03/06,2024/03/29
83,83,83,83,D,B,A,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,2024/03/08,2024/03/17
84,84,84,84,D,A,D,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024/03/15,2024/03/25
85,85,85,85,D,M,A,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,2024/03/25,2024/04/03
86,86,86,86,G,M,D,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,2024/03/04,2024/04/04
87,87,87,87,D,A,C,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,2024/03/09,2024/04/07
88,88,88,88,D,B,C,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,2024/03/15,2024/03/24
89,89,89,89,D,A,B,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,2024/04/02,2024/03/21
90,90,90,90,A,B,A,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,2024/03/10,2024/03/15
91,91,91,91,G,A,D,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,2024/03/22,2024/03/20
92,92,92,92,F,A,C,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,2024/03/18,2024/03/26
93,93,93,93,C,B,A,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,2024/03/09,2024/03/11
94,94,94,94,D,A,D,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,2024/03/09,2024/04/02
95,95,95,95,D,M,A,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,2024/03/12,2024/04/07
96,96,96,96,F,A,C,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,2024/03/29,2024/03/23
97,97,97,97,A,B,C,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024/03/21,2024/03/08
98,98,98,98,B,M,A,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,2024/03/06,2024/03/16
99,99,99,99,D,M,D,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,2024/03/12,2024/03/27
100,100,100,100,E,M,C,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024/03/26,2024/03/28
